noofcells,NewAspect,ModuleVID,ModuleCode,TableCode,TableVID,CellID,cellcode,outcomeID,outcomeVID,ReportMsg,isVoid,tvstartReleaseID,mvStartReleaseID,vvOldEndReleaseID,OldAspect,IsNewCell,isnewPropertyDataType,isNewKey,OldVariableID,NewVarID,OldVariableVID,NewVVID
2,"_1012404360_1657633",513,"FINREP9DP","F_18.00.e.dp",7266,367667,"{F_18.00.e.dp, r0540, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42604,,5420423
2,"_1012404360_1656440",513,"FINREP9DP","F_18.00.e.dp",7266,367668,"{F_18.00.e.dp, r0380, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,84910,,5424940
2,"_1012404360_1657712",513,"FINREP9DP","F_18.00.e.dp",7266,367669,"{F_18.00.e.dp, r0520, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,84916,,5424176
2,"_1012404360_1657652",513,"FINREP9DP","F_18.00.e.dp",7266,367670,"{F_18.00.e.dp, r0480, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42664,,5420435
2,"_1012404360_1657724",513,"FINREP9DP","F_18.00.e.dp",7266,367671,"{F_18.00.e.dp, r0540, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42605,,5420424
2,"_1012404360_1657656",513,"FINREP9DP","F_18.00.e.dp",7266,367672,"{F_18.00.e.dp, r0430, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42582,,5420127
2,"_1012404360_1657573",513,"FINREP9DP","F_18.00.e.dp",7266,367673,"{F_18.00.e.dp, r0490, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42559,,5420116
2,"_1012404360_1657565",513,"FINREP9DP","F_18.00.e.dp",7266,367674,"{F_18.00.e.dp, r0420, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42551,,5420111
2,"_1012404360_1657676",513,"FINREP9DP","F_18.00.e.dp",7266,367675,"{F_18.00.e.dp, r0490, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42560,,5420117
2,"_1012404360_1657739",513,"FINREP9DP","F_18.00.e.dp",7266,367676,"{F_18.00.e.dp, r0480, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42665,,5420151
2,"_1012404360_1656438",513,"FINREP9DP","F_18.00.e.dp",7266,367677,"{F_18.00.e.dp, r0360, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42584,,5420414
2,"_1012404360_1657641",513,"FINREP9DP","F_18.00.e.dp",7266,367678,"{F_18.00.e.dp, r0410, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42652,,5420144
2,"_1012404360_1657716",513,"FINREP9DP","F_18.00.e.dp",7266,367679,"{F_18.00.e.dp, r0470, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42597,,5420419
2,"_1012404360_1656456",513,"FINREP9DP","F_18.00.e.dp",7266,367680,"{F_18.00.e.dp, r0540, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42603,,5420134
2,"_1012404360_1657672",513,"FINREP9DP","F_18.00.e.dp",7266,367681,"{F_18.00.e.dp, r0350, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42556,,5420115
2,"_1012404360_1657595",513,"FINREP9DP","F_18.00.e.dp",7266,367682,"{F_18.00.e.dp, r0460, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42611,,5420427
2,"_1012404360_1656444",513,"FINREP9DP","F_18.00.e.dp",7266,367683,"{F_18.00.e.dp, r0420, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42550,,5420110
2,"_1012404360_1657614",513,"FINREP9DP","F_18.00.e.dp",7266,367684,"{F_18.00.e.dp, r0380, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,84911,,5424941
5,"_1012404360_1543720",513,"FINREP9DP","F_18.00.e.dp",7266,367685,"{F_18.00.e.dp, r0550, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42660,,5420434
2,"_1012404360_1657660",513,"FINREP9DP","F_18.00.e.dp",7266,367686,"{F_18.00.e.dp, r0360, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42586,,5420129
2,"_1012404360_1657625",513,"FINREP9DP","F_18.00.e.dp",7266,367687,"{F_18.00.e.dp, r0470, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42596,,5420418
2,"_1012404360_1657550",513,"FINREP9DP","F_18.00.e.dp",7266,367688,"{F_18.00.e.dp, r0430, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42581,,5420126
2,"_1012404360_1656437",513,"FINREP9DP","F_18.00.e.dp",7266,367689,"{F_18.00.e.dp, r0350, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42554,,5420113
2,"_1012404360_1656448",513,"FINREP9DP","F_18.00.e.dp",7266,367690,"{F_18.00.e.dp, r0460, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42610,,5420426
2,"_1012404360_1657580",513,"FINREP9DP","F_18.00.e.dp",7266,367691,"{F_18.00.e.dp, r0440, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42566,,5420120
2,"_1012404360_1657733",513,"FINREP9DP","F_18.00.e.dp",7266,367692,"{F_18.00.e.dp, r0340, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42657,,5420147
2,"_1012404360_1656443",513,"FINREP9DP","F_18.00.e.dp",7266,367693,"{F_18.00.e.dp, r0410, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42651,,5420432
2,"_1012404360_1656452",513,"FINREP9DP","F_18.00.e.dp",7266,367694,"{F_18.00.e.dp, r0500, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42588,,5420415
2,"_1012404360_1657554",513,"FINREP9DP","F_18.00.e.dp",7266,367695,"{F_18.00.e.dp, r0360, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42585,,5420128
2,"_1012404360_1657629",513,"FINREP9DP","F_18.00.e.dp",7266,367696,"{F_18.00.e.dp, r0400, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42600,,5420421
2,"_1012404360_1657618",513,"FINREP9DP","F_18.00.e.dp",7266,367697,"{F_18.00.e.dp, r0520, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,84915,,5424942
2,"_1012404360_1657588",513,"FINREP9DP","F_18.00.e.dp",7266,367698,"{F_18.00.e.dp, r0510, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42574,,5420123
2,"_1012404360_1657569",513,"FINREP9DP","F_18.00.e.dp",7266,367699,"{F_18.00.e.dp, r0350, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42555,,5420114
2,"_1012404360_1657664",513,"FINREP9DP","F_18.00.e.dp",7266,367700,"{F_18.00.e.dp, r0500, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42590,,5420131
2,"_1012404360_1657584",513,"FINREP9DP","F_18.00.e.dp",7266,367701,"{F_18.00.e.dp, r0370, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42570,,5420122
2,"_1012404360_1656449",513,"FINREP9DP","F_18.00.e.dp",7266,367702,"{F_18.00.e.dp, r0470, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42595,,5420417
3,"_1012404360_806272",513,"FINREP9DP","F_18.00.e.dp",7266,367703,"{F_18.00.e.dp, r0550, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42659,,5420148
2,"_1012404360_1656447",513,"FINREP9DP","F_18.00.e.dp",7266,367704,"{F_18.00.e.dp, r0450, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,84906,,5424937
2,"_1012404360_1657700",513,"FINREP9DP","F_18.00.e.dp",7266,367705,"{F_18.00.e.dp, r0530, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42620,,5420141
2,"_1012404360_1513752",513,"FINREP9DP","F_18.00.e.dp",7266,367706,"{F_18.00.e.dp, r0340, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42655,,5420433
2,"_1012404360_1656445",513,"FINREP9DP","F_18.00.e.dp",7266,367707,"{F_18.00.e.dp, r0430, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42580,,5420125
2,"_1012404360_1657610",513,"FINREP9DP","F_18.00.e.dp",7266,367708,"{F_18.00.e.dp, r0450, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,84907,,5424938
2,"_1012404360_1657692",513,"FINREP9DP","F_18.00.e.dp",7266,367709,"{F_18.00.e.dp, r0460, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42612,,5420137
2,"_1012404360_1657688",513,"FINREP9DP","F_18.00.e.dp",7266,367710,"{F_18.00.e.dp, r0510, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42575,,5420411
2,"_1012404360_1657729",513,"FINREP9DP","F_18.00.e.dp",7266,367711,"{F_18.00.e.dp, r0410, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42653,,5420145
2,"_1012404360_1656454",513,"FINREP9DP","F_18.00.e.dp",7266,367712,"{F_18.00.e.dp, r0520, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,84914,,5424175
2,"_1012404360_1656450",513,"FINREP9DP","F_18.00.e.dp",7266,367713,"{F_18.00.e.dp, r0480, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42663,,5420150
2,"_1012404360_1657704",513,"FINREP9DP","F_18.00.e.dp",7266,367714,"{F_18.00.e.dp, r0450, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,84908,,5424939
2,"_1012404360_1656455",513,"FINREP9DP","F_18.00.e.dp",7266,367715,"{F_18.00.e.dp, r0530, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42618,,5420140
2,"_1012404360_1656451",513,"FINREP9DP","F_18.00.e.dp",7266,367716,"{F_18.00.e.dp, r0490, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42558,,5420405
2,"_1012404360_1657645",513,"FINREP9DP","F_18.00.e.dp",7266,367717,"{F_18.00.e.dp, r0340, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42656,,5420146
2,"_1012404360_1656453",513,"FINREP9DP","F_18.00.e.dp",7266,367718,"{F_18.00.e.dp, r0510, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42573,,5420410
2,"_1012404360_1656439",513,"FINREP9DP","F_18.00.e.dp",7266,367719,"{F_18.00.e.dp, r0370, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42569,,5420121
2,"_1012404360_1656446",513,"FINREP9DP","F_18.00.e.dp",7266,367720,"{F_18.00.e.dp, r0440, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42565,,5420119
2,"_1012404360_1657558",513,"FINREP9DP","F_18.00.e.dp",7266,367721,"{F_18.00.e.dp, r0500, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42589,,5420130
2,"_1012404360_1657708",513,"FINREP9DP","F_18.00.e.dp",7266,367722,"{F_18.00.e.dp, r0380, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,84912,,5424174
2,"_1012404360_1656441",513,"FINREP9DP","F_18.00.e.dp",7266,367723,"{F_18.00.e.dp, r0390, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42614,,5420138
2,"_1012404360_1657668",513,"FINREP9DP","F_18.00.e.dp",7266,367724,"{F_18.00.e.dp, r0420, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42552,,5420112
4,"_1012404360_1585542",513,"FINREP9DP","F_18.00.e.dp",7266,367725,"{F_18.00.e.dp, r0550, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42661,,5420149
2,"_1012404360_1657603",513,"FINREP9DP","F_18.00.e.dp",7266,367726,"{F_18.00.e.dp, r0530, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42619,,5420429
2,"_1012404360_1657720",513,"FINREP9DP","F_18.00.e.dp",7266,367727,"{F_18.00.e.dp, r0400, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42601,,5420422
2,"_1012404360_1657744",513,"FINREP9DP","F_19.00.d.dp",7270,367888,"{F_19.00.d.dp, r0340, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,118996,,5427057
2,"_1012405491_1571419",513,"FINREP9DP","F_19.00.a.dp",7293,369328,"{F_19.00.a.dp, r0221, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,155072,,5439638
2,"_1012405491_1570690",513,"FINREP9DP","F_19.00.a.dp",7293,369339,"{F_19.00.a.dp, r0191, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,154706,,5439889
1,"_1012405491_1010000033",513,"FINREP9DP","F_19.00.a.dp",7293,369343,"{F_19.00.a.dp, r0070, c0020}","NEW","NEW","New Variable ID & New Variable VID: New Cell",0,1010000003,1010000003,,"__",-1,-1,0,,1010000004,,1010000004
2,"_1012408708_1698929",513,"FINREP9DP","F_02.00.dp",7256,367380,"{F_02.00.dp, r0440, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,57024,,5421472
2,"_1012408708_806403",513,"FINREP9DP","F_02.00.dp",7256,367381,"{F_02.00.dp, r0450, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,33934,,5419173
4,"_1012405506_1602809",513,"FINREP9DP","F_11.02.dp",7258,367382,"{F_11.02.dp, r0250, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,67345,,5423727
2,"_1012405506_968144",513,"FINREP9DP","F_11.02.dp",7258,367383,"{F_11.02.dp, r0230, c0011}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,153394,,3236495
2,"_1012405506_1602801",513,"FINREP9DP","F_11.02.dp",7258,367384,"{F_11.02.dp, r0260, c0011}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,153352,,5439076
4,"_1012405506_1602797",513,"FINREP9DP","F_11.02.dp",7258,367385,"{F_11.02.dp, r0240, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,67344,,5424707
2,"_1012405506_1602795",513,"FINREP9DP","F_11.02.dp",7258,367386,"{F_11.02.dp, r0240, c0011}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,153353,,5439407
2,"_1012405506_1602807",513,"FINREP9DP","F_11.02.dp",7258,367387,"{F_11.02.dp, r0250, c0011}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,153354,,5439077
4,"_1012405506_807449",513,"FINREP9DP","F_11.02.dp",7258,367388,"{F_11.02.dp, r0230, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,11503,,3213548
4,"_1012405506_1602803",513,"FINREP9DP","F_11.02.dp",7258,367389,"{F_11.02.dp, r0260, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,67343,,5423726
1,"_1012405491_1010000034",513,"FINREP9DP","F_18.00.a.dp",7259,367432,"{F_18.00.a.dp, r0070, c0055}","NEW","NEW","New Variable ID & New Variable VID: New Cell",0,1010000003,1010000003,,"__",-1,-1,0,,1010000002,,1010000002
2,"_1012405491_1570689",513,"FINREP9DP","F_18.00.a.dp",7259,367439,"{F_18.00.a.dp, r0191, c0030}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,154757,,5439907
2,"_1012405491_1571418",513,"FINREP9DP","F_18.00.a.dp",7259,367441,"{F_18.00.a.dp, r0221, c0030}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,155120,,5439652
1,"_1012405491_1010000032",513,"FINREP9DP","F_18.00.a.dp",7259,367447,"{F_18.00.a.dp, r0070, c0030}","NEW","NEW","New Variable ID & New Variable VID: New Cell",0,1010000003,1010000003,,"__",-1,-1,0,,1010000003,,1010000003
2,"_1012405491_1570693",513,"FINREP9DP","F_18.00.a.dp",7259,367470,"{F_18.00.a.dp, r0191, c0055}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,154758,,5439908
2,"_1012405491_1571422",513,"FINREP9DP","F_18.00.a.dp",7259,367480,"{F_18.00.a.dp, r0221, c0055}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,155121,,5440270
2,"_1012404360_1657599",513,"FINREP9DP","F_18.00.e.dp",7266,367662,"{F_18.00.e.dp, r0390, c0060}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42615,,5420428
2,"_1012404360_1657696",513,"FINREP9DP","F_18.00.e.dp",7266,367663,"{F_18.00.e.dp, r0390, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42616,,5420139
2,"_1012404360_1656442",513,"FINREP9DP","F_18.00.e.dp",7266,367664,"{F_18.00.e.dp, r0400, c0010}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42599,,5420420
2,"_1012404360_1657680",513,"FINREP9DP","F_18.00.e.dp",7266,367665,"{F_18.00.e.dp, r0440, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42567,,5420408
2,"_1012404360_1657684",513,"FINREP9DP","F_18.00.e.dp",7266,367666,"{F_18.00.e.dp, r0370, c0020}","OTHER OLD","OTHER OLD","A new cell has a another variable (already used in other cells)",0,1010000003,1010000003,,"__",-1,-1,0,,42571,,5420409
